id,name,code,implementation,active,prefix,number_next,number_increment,padding,company_id/id
ir_sequence_tv_sale_center_tv_sc_sequence_resupply_s,TV Sale Center - TV-SC Sequence Resupply Subcontractor,,standard,1,TV-SC/RES/,1,1,5,base.main_company
ir_sequence_tv_sale_center_tv_sc_sequence_in,TV Sale Center - TV-SC Sequence in,,standard,1,TV-SC/IN/,1,1,5,base.main_company
ir_sequence_tv_sale_center_tv_sc_sequence_internal,TV Sale Center - TV-SC Sequence internal,,standard,1,TV-SC/INT/,1,1,5,base.main_company
ir_sequence_tv_sale_center_tv_sc_sequence_out,TV Sale Center - TV-SC Sequence out,,standard,1,TV-SC/OUT/,1,1,5,base.main_company
ir_sequence_tv_sale_center_tv_sc_sequence_packing,TV Sale Center - TV-SC Sequence packing,,standard,1,TV-SC/PACK/,1,1,5,base.main_company
ir_sequence_tv_sale_center_tv_sc_sequence_picking,TV Sale Center - TV-SC Sequence picking,,standard,1,TV-SC/PICK/,1,1,5,base.main_company
ir_sequence_tv_sale_center_tv_sc_sequence_picking_be,TV Sale Center - TV-SC Sequence picking before manufacturing,,standard,1,TV-SC/PC/,1,1,5,base.main_company
ir_sequence_tv_sale_center_tv_sc_sequence_production,TV Sale Center - TV-SC Sequence production,,standard,1,TV-SC/MO/,1,1,5,base.main_company
ir_sequence_tv_sale_center_tv_sc_sequence_return,TV Sale Center - TV-SC Sequence return,,standard,1,TV-SC/RET/,1,1,5,base.main_company
ir_sequence_tv_sale_center_tv_sc_sequence_stock_afte,TV Sale Center - TV-SC Sequence stock after manufacturing,,standard,1,TV-SC/SFP/,1,1,5,base.main_company
ir_sequence_tv_sale_center_tv_sc_sequence_subcontrac,TV Sale Center - TV-SC Sequence subcontracting,,standard,1,TV-SC/SBC/,1,1,5,base.main_company
ir_sequence_tender_warehouse_head_office_picking_pos,Tender warehouse - Head Office Picking POS,,standard,1,TD-HO/POS/,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_tender_warehouse_head_office_sequence_in,Tender warehouse - Head Office Sequence in,,standard,1,TD-HO/IN/,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_tender_warehouse_head_office_sequence_in_1363,Tender warehouse - Head Office Sequence internal,,standard,1,TD-HO/INT/,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_tender_warehouse_head_office_sequence_ou,Tender warehouse - Head Office Sequence out,,standard,1,TD-HO/OUT/,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_tender_warehouse_head_office_sequence_pa,Tender warehouse - Head Office Sequence packing,,standard,1,TD-HO/PACK/,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_tender_warehouse_head_office_sequence_pi,Tender warehouse - Head Office Sequence picking,,standard,1,TD-HO/PICK/,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_tender_warehouse_head_office_sequence_pi_1364,Tender warehouse - Head Office Sequence picking before manufacturing,,standard,1,TD-HO/PC/,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_tender_warehouse_head_office_sequence_pr,Tender warehouse - Head Office Sequence production,,standard,1,TD-HO/MO/,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_tender_warehouse_head_office_sequence_re,Tender warehouse - Head Office Sequence repair,,standard,1,TD-HO/RO/,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_tender_warehouse_head_office_sequence_st,Tender warehouse - Head Office Sequence stock after manufacturing,,standard,1,TD-HO/SFP/,1,1,5,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd
ir_sequence_test_picking_pos_257,Test Picking POS,,standard,1,Test/POS/,1,1,5,base.main_company
ir_sequence_test_sequence_resupply_subcontractor_396,Test Sequence Resupply Subcontractor,,standard,1,Test/RES/,1,1,5,base.main_company
ir_sequence_test_sequence_resupply_subcontractor_540,Test Sequence Resupply Subcontractor,,standard,1,Test/RES/,1,1,5,base.main_company
ir_sequence_test_sequence_in_249,Test Sequence in,,standard,1,Test/IN/,1,1,5,base.main_company
ir_sequence_test_sequence_internal_253,Test Sequence internal,,standard,1,Test/INT/,1,1,5,base.main_company
ir_sequence_test_sequence_out_250,Test Sequence out,,standard,1,Test/OUT/,1,1,5,base.main_company
ir_sequence_test_sequence_packing_252,Test Sequence packing,,standard,1,Test/PACK/,1,1,5,base.main_company
ir_sequence_test_sequence_picking_251,Test Sequence picking,,standard,1,Test/PICK/,1,1,5,base.main_company
ir_sequence_test_sequence_picking_before_manufacturi_254,Test Sequence picking before manufacturing,,standard,1,Test/PC/,1,1,5,base.main_company
ir_sequence_test_sequence_production_256,Test Sequence production,,standard,1,Test/MO/,1,1,5,base.main_company
ir_sequence_test_sequence_return_394,Test Sequence return,,standard,1,Test/RET/,1,1,5,base.main_company
ir_sequence_test_sequence_stock_after_manufacturing_255,Test Sequence stock after manufacturing,,standard,1,Test/SFP/,1,1,5,base.main_company
ir_sequence_test_sequence_subcontracting_539,Test Sequence subcontracting,,standard,1,Test/SBC/,1,1,5,base.main_company
ir_sequence_test_sequence_subcontracting_395,Test Sequence subcontracting,,standard,1,Test/SBC/,1,1,5,base.main_company
ir_sequence_testing_picking_pos,Testing Picking POS,,standard,1,Testi/POS/,1,1,5,Jinasena_MasterData_Common.res_company_jltd
ir_sequence_testing_sequence_resupply_subcontractor,Testing Sequence Resupply Subcontractor,,standard,1,Testi/RES/,1,1,5,Jinasena_MasterData_Common.res_company_jltd
ir_sequence_testing_sequence_in,Testing Sequence in,,standard,1,Testi/IN/,1,1,5,Jinasena_MasterData_Common.res_company_jltd
ir_sequence_testing_sequence_internal,Testing Sequence internal,,standard,1,Testi/INT/,1,1,5,Jinasena_MasterData_Common.res_company_jltd
ir_sequence_testing_sequence_out,Testing Sequence out,,standard,1,Testi/OUT/,1,1,5,Jinasena_MasterData_Common.res_company_jltd
ir_sequence_testing_sequence_packing,Testing Sequence packing,,standard,1,Testi/PACK/,1,1,5,Jinasena_MasterData_Common.res_company_jltd
ir_sequence_testing_sequence_picking,Testing Sequence picking,,standard,1,Testi/PICK/,1,1,5,Jinasena_MasterData_Common.res_company_jltd
ir_sequence_testing_sequence_picking_before_manufact,Testing Sequence picking before manufacturing,,standard,1,Testi/PC/,1,1,5,Jinasena_MasterData_Common.res_company_jltd
ir_sequence_testing_sequence_production,Testing Sequence production,,standard,1,Testi/MO/,1,1,5,Jinasena_MasterData_Common.res_company_jltd
ir_sequence_testing_sequence_repair,Testing Sequence repair,,standard,1,Testi/RO/,1,1,5,Jinasena_MasterData_Common.res_company_jltd
ir_sequence_testing_sequence_return,Testing Sequence return,,standard,1,Testi/RET/,1,1,5,Jinasena_MasterData_Common.res_company_jltd
